id,recruiter_id,message,accepted
28018,23,"<p>Hi talentname,</p><p>Just wanted to have the interview recorded on our system too! :) </p><p>Best,</p><p>recruitername </p>",1
26194,23,"<p>Hi talentname,</p><p>​We are looking for a VP of Engineering, who could grow into a CTO. Currently our team is just four developers, but this will increase as we continue to grow over the coming year. </p><p>One concern I had was that you don't have experience with Ruby. Do you see that as an obstacle? </p><p>Best,</p><p>recruitername </p>",1
26305,23,"<p>Hi talentname,</p><p>Thomas speaks very highly of you! :) </p><p>Would you be interested in chatting about a BE position with the opportunity to grow into lead? </p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>",1
26193,23,"<p>Hi talentname,</p><p>​We are looking for a VP of Engineering, who could grow into a CTO. Currently our team is just four developers, but this will increase as we continue to grow over the coming year. </p><p>As a first step, I would love to have a quick chat with you to tell you more about the role, our vision and how exactly I see you fitting in. When would you be available?</p><p>Best,</p><p>recruitername </p>",1
25299,23,"<p>Hi talentname,</p><p>​We are looking for a VP of Engineering. Currently we are a small team but will continue to grow over the coming year. </p><p>As a first step, I would love to have a quick chat with you to tell you more about the role, our vision and how exactly I see you fitting in. When would you be available?</p><p>Best,</p><p>recruitername </p>",1
25298,23,"<p>Hi talentname,</p><p>​We are looking for a VP of Engineering, who could grow into a CTO. Currently our team is just four, but this will increase as we continue to grow over the coming year. </p><p>As a first step, I would love to have a quick chat with you to tell you more about the role, our vision and how exactly I see you fitting in. When would you be available?</p><p>Best,</p><p>recruitername </p>",1
22087,23,"<p>Hi talentname,</p><p>How do you feel about diving into Ember? </p><p><span style=""font-size: 0.875rem;"">We are looking for a frontend developer to join our team! We are currently building out fullstack teams at companyname and your UX skills are something which would be very useful!</span></p><p>Also, I see you like GraphQL, we organize GraphQL Conf (formerly GraphQL Europe!). </p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>",1
21912,23,"<p>Hi talentname,</p><p><span style=""font-size: 0.875rem;"">I think you fit really well to the role and would love to tell you more about the challenges we are working on. </span></p><p><span style=""font-size: 0.875rem;"">Also thought you might be interested to know that we care a lot about contributing to the developer community. and the many OSS projects on our GitHub! </span><br></p><p>Would you be interested in chatting about the position? </p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>",0
21914,23,"<p>Hi talentname,</p><p>How do you feel about diving into Ember? </p><p><span style=""font-size: 0.875rem;"">We are looking for a frontend developer to join our team! </span></p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>",1
21913,23,"<p>Hi talentname,</p><p>How do you feel about diving into Ember? </p><p><span style=""font-size: 0.875rem;"">We are looking for a frontend developer to join our team! </span></p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>",1
21699,23,"<p>Hi talentname,</p><p><span style=""font-size: 0.875rem;"">Would love to share more details about the role at companyname! </span></p><p><span style=""font-size: 0.875rem;"">Best,</span></p><p><span style=""font-size: 0.875rem;"">recruitername​</span><br></p>",1
20032,23,"<p>Hi talentname,</p><p><span style=""font-size: 0.875rem;"">I think you fit really well to the role and would love to tell you more about the challenges we are working on. </span></p><p><span style=""font-size: 0.875rem;"">Also thought you might be interested to know that we care a lot about contributing to the developer community. and the many OSS projects on our GitHub! </span><br></p><p>Would you be interested in chatting about the position? </p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>",1
20036,23,"<p>Hi talentname,</p><p>Would love to chat to you about the Head of Product Role here at companyname.</p><p>Let me know when you are available! </p><p>Best,</p><p>recruitername</p><p>​</p>",0
20035,23,"<p>Hi talentname,</p><p>How do you feel about diving into Ember? </p><p><span style=""font-size: 0.875rem;"">We are looking for a frontend developer to join our team! </span></p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>",1
20033,23,"<p>Hi talentname,</p><p>​I would love to chat to you to see if you can help us out with a project we are working on! It would be part-time and related to NLP!</p><p>recruitername</p>",1
20029,23,"<p>Hi talentname,</p><p><span style=""font-size: 0.875rem;"">We are looking for a frontend developer to join our team!</span><br></p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>",1
19928,23,"<p>Hi talentname,</p><p>Nice to meet you! We are looking for a senior UX designer to join our tech team. </p><p><span style=""font-size: 0.875rem;"">You seem like you have great </span>experience<span style=""font-size: 0.875rem;""> - Artfuly looks like an awesome project. We can't meet you salary expectations but I would love to chat to the role and see if we can come to an agreement, perhaps on making the role more flexible or by having an equity component!</span></p><p><span style=""font-size: 0.875rem;"">Would love to chat! </span><br></p><p><span style=""font-size: 0.875rem;"">Best,</span></p><p><span style=""font-size: 0.875rem;"">recruitername</span></p><p><span style=""font-size: 0.875rem;"">(P.S Can you send me your dribbble or behance too?) ​</span><br></p>",1
19926,23,"<p>Hi talentname,</p><p>How do you feel about diving into Ember? </p><p><span style=""font-size: 0.875rem;"">We are looking for a frontend developer to join our team! </span></p><p><span style=""font-size: 0.875rem;"">Best,</span><br></p><p>recruitername</p>",1
