accepted,id,message,recruiter_id,type,frequency,template
,3340,"Hi [talent_name],We are looking for a part-time developer to join our marketing team to work on open source projects and general developer advocacy.  Would love to talk to you a bit more about the role, if you are interested!Best,recruitername​",23,template,0,
,3263,"Hi [talent_name],Would love to chat to you about the Head of Product Role here at Honeypot.Let me know when you are available! Best,recruitername​",23,template,0,
,2869,"Hi [talent_name],I think you fit really well to the role and would love to tell you more about the challenges we are working on. Also thought you might be interested to know that we care a lot about contributing to the developer community. and the many OSS projects on our GitHub! Would you be interested in chatting about the position? Best,recruitername",23,template,0,
,3094,"Hi [talent_name],How do you feel about diving into Ember? We are looking for a frontend developer to join our team! Best,recruitername",23,template,0,
,2809,"Hi [talent_name],I see that the majority of your experience is with Angular and Node. ​",23,template,0,
,3054,"Hi [talent_name],​We are looking for VP of Engineering. Best,recruitername ",23,template,0,
,2531,"Hi [talent_name],We are looking for a frontend developer with Ember experience, a love of digging into CSS details and a passion for great UI to join our team. You seem like you are great fit and we would love to get to know you more!Looking forward to chatting!Best,recruitername",834,template,0,
,2522,"Hi [talent_name],​We are super ambitious about where Honeypot will go. We want to build a frictionless experience for both developers and recruiters in finding their perfect match. To do this, we believe we have to build smart algorithms which personalize the discovery of jobs for each user. We are a small team and we have a long way to go, so we want someone who is curious, pragmatic and believes they can make an impact. Looking at your profile, you seem to be a great fit and we would love to chat further! Hoping to talk soon!Best,recruitername ",834,template,0,
,2248,"Hi [talent_name],​SHARE!",834,template,0,
,2157,"Hi [talent_name],​We see you are into Ruby :). So do we!​At Honeypot we are excited about technology and its application in solving real life problems. Our challenges are: * creating the tools/technology of tomorrow for finding every developer his perfect team/challenge* making finding of the next great challenge close to effortless* incrementally increasing speed of development by improving code maintainability and reusabilityIn case you would like to know more, we would love to hear from you!Regards,recruitername",834,template,0,
,4810,"Hi [talent_name],​​We are currently seeking a senior back-end developer to lead of back-end devs here at Honeypot, and we would love to arrange a video call to discuss the position with you. Our stack is Ruby and Rust for backend and for Frontend we use Emeberjs as a framework. If you are interested please let me know a few times for next week you would be available.The video call would be conducted via hangouts. Kindest,recruitername",3688,template,0,
,4657,"Hi [talent_name],My name is recruitername and I lead the People Ops team at Honeypot. We are looking for a full-stack developer to join our Search team, and your profile was a delight to review! If the role described above sparks your interest, I'd love to set up a video call over google hangouts to get to know each other. Let me know!recruitername ",3688,template,0,
,3990,"Hi [talent_name],​We are currently seeking a Sr. Frontend Developer here at Honeypot, and we would love to arrange a video call to discuss the position with you. Our stack is Ruby and Rust for backend and for Frontend we use Emeberjs as a framework. If you are interested please let me know a few times this week, or early next week you would be available.The video call would be conducted via hangouts. Kindest, recruitername",3688,template,0,
,3885,"Hi [talent_name],​We are currently seeking a Senior Data Scientist here at Honeypot, and we would love to arrange a video call to discuss the position with you!If you are interested please let me know a few times this week, or early next week you would be available.The video call would be conducted via hangouts. Kindest, recruitername ",3688,template,0,
,3668,"Hi [talent_name],We are currently looking for a senior product manager here at Honeypot. If you are interested I would love to arrange a short video call. Kindest, recruitername ",3688,template,58,
1.0,28018,"Hi talentname,Just wanted to have the interview recorded on our system too! :) Best,recruitername ",23,invite,0,
1.0,26194,"Hi talentname,​We are looking for a VP of Engineering, who could grow into a CTO. Currently our team is just four developers, but this will increase as we continue to grow over the coming year. One concern I had was that you don't have experience with Ruby. Do you see that as an obstacle? Best,recruitername ",23,invite,0,
1.0,26305,"Hi talentname,Thomas speaks very highly of you! :) Would you be interested in chatting about a BE position with the opportunity to grow into lead? Best,recruitername",23,invite,0,
1.0,26193,"Hi talentname,​We are looking for a VP of Engineering, who could grow into a CTO. Currently our team is just four developers, but this will increase as we continue to grow over the coming year. As a first step, I would love to have a quick chat with you to tell you more about the role, our vision and how exactly I see you fitting in. When would you be available?Best,recruitername ",23,invite,0,
1.0,25299,"Hi talentname,​We are looking for a VP of Engineering. Currently we are a small team but will continue to grow over the coming year. As a first step, I would love to have a quick chat with you to tell you more about the role, our vision and how exactly I see you fitting in. When would you be available?Best,recruitername ",23,invite,0,
1.0,25298,"Hi talentname,​We are looking for a VP of Engineering, who could grow into a CTO. Currently our team is just four, but this will increase as we continue to grow over the coming year. As a first step, I would love to have a quick chat with you to tell you more about the role, our vision and how exactly I see you fitting in. When would you be available?Best,recruitername ",23,invite,0,
1.0,22087,"Hi talentname,How do you feel about diving into Ember? We are looking for a frontend developer to join our team! We are currently building out fullstack teams at companyname and your UX skills are something which would be very useful!Also, I see you like GraphQL, we organize GraphQL Conf (formerly GraphQL Europe!). Best,recruitername",23,invite,0,
0.0,21912,"Hi talentname,I think you fit really well to the role and would love to tell you more about the challenges we are working on. Also thought you might be interested to know that we care a lot about contributing to the developer community. and the many OSS projects on our GitHub! Would you be interested in chatting about the position? Best,recruitername",23,invite,0,
1.0,21914,"Hi talentname,How do you feel about diving into Ember? We are looking for a frontend developer to join our team! Best,recruitername",23,invite,0,
1.0,21913,"Hi talentname,How do you feel about diving into Ember? We are looking for a frontend developer to join our team! Best,recruitername",23,invite,0,
1.0,21699,"Hi talentname,Would love to share more details about the role at companyname! Best,recruitername​",23,invite,0,
1.0,20032,"Hi talentname,I think you fit really well to the role and would love to tell you more about the challenges we are working on. Also thought you might be interested to know that we care a lot about contributing to the developer community. and the many OSS projects on our GitHub! Would you be interested in chatting about the position? Best,recruitername",23,invite,0,
0.0,20036,"Hi talentname,Would love to chat to you about the Head of Product Role here at companyname.Let me know when you are available! Best,recruitername​",23,invite,0,
1.0,20035,"Hi talentname,How do you feel about diving into Ember? We are looking for a frontend developer to join our team! Best,recruitername",23,invite,0,
1.0,20033,"Hi talentname,​I would love to chat to you to see if you can help us out with a project we are working on! It would be part-time and related to NLP!recruitername",23,invite,0,
1.0,20029,"Hi talentname,We are looking for a frontend developer to join our team!Best,recruitername",23,invite,0,
1.0,19928,"Hi talentname,Nice to meet you! We are looking for a senior UX designer to join our tech team. You seem like you have great experience - Artfuly looks like an awesome project. We can't meet you salary expectations but I would love to chat to the role and see if we can come to an agreement, perhaps on making the role more flexible or by having an equity component!Would love to chat! Best,recruitername(P.S Can you send me your dribbble or behance too?) ​",23,invite,0,
1.0,19926,"Hi talentname,How do you feel about diving into Ember? We are looking for a frontend developer to join our team! Best,recruitername",23,invite,0,
1.0,19927,"Hi talentname,We are looking for a part-time developer to join our marketing team to work on open source projects and general developer advocacy.  Would love to talk to you a bit more about the role, if you are interested!Best,recruitername​",23,invite,0,
0.0,19418,"Hi talentname,How do you feel about diving into Ember? We are looking for a frontend developer to join our team! Best,recruitername",23,invite,0,
0.0,18940,"Hi talentname,I think you fit really well to the role and would love to tell you more about the challenges we are working on. Also thought you might be interested to know that we care a lot about contributing to the developer community. and the many OSS projects on our GitHub! Would you be interested in chatting about the position? Best,recruitername",23,invite,0,
0.0,19248,"Hi talentname,How do you feel about diving into Ember? We are looking for a frontend developer to join our team! Best,recruitername",23,invite,0,
1.0,19246,"Hi talentname,Would love to chat to you about the Head of Product Role here at companyname.Let me know when you are available! Best,recruitername​",23,invite,0,
1.0,19247,"Hi talentname,Would love to chat to you about the Head of Product Role here at companyname.Let me know when you are available! Best,recruitername​",23,invite,0,
1.0,19241,"Hi talentname,I think you fit really well to the role and would love to tell you more about the challenges we are working on. Also thought you might be interested to know that we care a lot about contributing to the developer community. and the many OSS projects on our GitHub! Would you be interested in chatting about the position? Best,recruitername",23,invite,0,
1.0,19245,"Hi talentname,Would love to chat to you about the CPO here at companyname.Let me know when you are available! Best,recruitername​",23,invite,0,
1.0,17756,"Hi talentname,We are looking for a backend Ruby developer and you seem like a great fit for the role! I especially like your work with Podcasts - you should check out our Documentary series. We started with Elixir, but hope to make one about Ruby soon too! :) Would you be interested in chatting about the role? If so, are you available on Monday afternoon?Best,recruitername",23,invite,0,
1.0,17713,"Hi talentname,I see that the majority of your experience is with Angular and Node, whereas we use Ember and Ruby. However, we have a big project coming up to overhaul our backend system for the Talent Rep team and would love you to be part of that as a fullstack developer. For the project, we want to use the best technologies to solve the problem (though of course we do have some preference towards Ruby ;) ). Does this sound like something interesting for you? Check out our GitHub profile too, we value open source quite a lot! recruitername ​",23,invite,0,
